target_id,item_id,datetime,probability,latitude,longitude,bounding_box,area,major_length,minor_length,length
20200305_145022__2_3_0,20200305_145022_,2020-03-05 14:50:22,0.740766704082489,-12.444855162862432,-76.9359800253314,[ 40.912758 226.00272   53.284378 255.99527 ],3339.508344179951,89.9776611328125,37.11486053466797,97.33186721438715
20200305_145023__2_3_0,20200305_145023_,2020-03-05 14:50:23,0.9609342217445374,-12.50897526210932,-76.94877016873441,[ 48.802914 220.09595   61.009342 252.18857 ],3525.62654404412,96.27786254882812,36.619285583496094,103.00679052187135
20200305_150724__10_26_0,20200305_150724_,2020-03-05 15:07:24,0.5345851778984071,-12.44328269545063,-77.19072159176126,[296.89975 101.42976 298.97104 103.94899],46.96240872144699,7.55767822265625,6.2138671875,9.784203878757928
20200306_141509__3_8_0,20200306_141509_,2020-03-06 14:15:09,0.5369144678115845,-12.376294205551913,-77.1705142789567,[  2.9265385 242.72618    65.722885  256.9422   ],8034.4265771572245,188.38904571533203,42.64805603027344,193.15612656267157
20200306_141509__5_14_0,20200306_141509_,2020-03-06 14:15:09,0.8240014314651489,-12.391543583094704,-77.11786359154138,[149.89917 185.72948 157.73804 212.19765],1867.3242356479168,79.40451049804688,23.5166015625,82.81368749478442
20200306_141509__6_26_0,20200306_141509_,2020-03-06 14:15:09,0.5570529699325562,-12.400860050551973,-77.01747701571503,[203.58911 203.65926 212.22128 227.08067],1819.599240797572,70.26425170898439,25.896514892578125,74.88454147422574
20200306_141509__7_23_0,20200306_141509_,2020-03-06 14:15:09,0.9387214183807372,-12.409256507413804,-77.04518763295448,[ 96.497375 219.38602  108.89586  248.01202 ],3194.271630463656,85.87802124023438,37.19544982910156,93.58705049379085
20200306_141509__10_11_0,20200306_141509_,2020-03-06 14:15:09,0.5172754526138306,-12.429077909409358,-77.14249653161713,[159.84392  91.13985 177.86876  99.87691],1417.3571687489746,54.07452392578125,26.211181640625,60.092263901418505
20200306_141510__7_23_0,20200306_141510_,2020-03-06 14:15:10,0.9491809606552124,-12.347839960701725,-77.05679799359145,[84.96941  69.34278  95.749855 98.19361 ],2799.2221169136465,86.552490234375,32.341323852539055,92.39748261888087
20200306_141510__7_24_0,20200306_141510_,2020-03-06 14:15:10,0.5123376846313477,-12.348011654613993,-77.04606352005806,[175.15369   74.035126 186.13559  100.20297 ],2586.3548035360877,78.5035400390625,32.945709228515625,85.13651129353721
20200306_141510__9_18_0,20200306_141510_,2020-03-06 14:15:10,0.5915135741233826,-12.367867054901652,-77.09332545261177,[258.4049  230.27762 274.8322  239.09518],1303.6397711746395,49.28192138671875,26.45269775390625,55.932575428154955
20200307_141505__3_10_0,20200307_141505_,2020-03-07 14:15:05,0.5745299458503723,-12.479860281521168,-76.95858035906306,[  1.8840065 112.76803    43.074257  123.22903  ],3878.020341566065,123.57075119018556,31.38299560546875,127.49361930261301
20200307_141507__6_13_0,20200307_141507_,2020-03-07 14:15:07,0.8002583384513855,-12.380939336530385,-76.95344322539877,[160.06306  69.34817 167.66805  95.47724],1788.3998835459354,78.38722229003906,22.81494140625,81.63992999579689
20200307_141507__8_9_0,20200307_141507_,2020-03-07 14:15:07,0.8496034145355225,-12.395106329637068,-76.98740214131973,[120.753235    3.5158567 144.44968    28.44917  ],5317.476841978496,74.79993438720703,71.08932495117188,103.19264657107979
20200307_141507__8_10_0,20200307_141507_,2020-03-07 14:15:07,0.6240449547767639,-12.398589054466818,-76.97776392466909,[178.52136 128.35474 189.40475 155.30685],2639.9742619888857,80.85635375976562,32.650177001953125,87.19967890756958
20200307_141507__9_4_0,20200307_141507_,2020-03-07 14:15:07,0.5169418454170227,-12.40315523601371,-77.02699579899617,[189.14662   13.435908 199.79134   35.83713 ],2146.091506570112,67.20366668701172,31.93414306640625,74.40512287177994
20200307_141508__6_13_0,20200307_141508_,2020-03-07 14:15:08,0.8609614968299866,-12.319483932691831,-76.96503615270151,[169.74196   65.07428  180.14445   92.951675],2609.950553548057,83.63218688964844,31.207489013671875,89.26505505786425
20200309_152729_13__15_8_0,20200309_152729_13_,2020-03-09 15:27:29,0.6308362483978271,-12.317699588802713,-77.01158267572964,[ 88.695786 246.64452  132.36656  264.7704  ],7124.1372392009935,131.0123291015625,54.37760925292969,141.84905626996758
20200309_152729_13__16_7_0,20200309_152729_13_,2020-03-09 15:27:29,0.8538981080055237,-12.323630346558044,-77.01578787694163,[253.12051 155.96625 264.23416 197.2019 ],4124.5069662854075,123.70697021484376,33.3409423828125,128.12116499123113
20200309_152729_13__16_9_0,20200309_152729_13_,2020-03-09 15:27:29,0.5757009387016296,-12.324620649670946,-77.00343487680863,[ 99.39854 200.16222 118.41297 219.34273],3282.3592662764718,57.54153442382813,57.04330444335938,81.0244825078592
20200309_152729_13__16_10_0,20200309_152729_13_,2020-03-09 15:27:29,0.6950340867042542,-12.32235659040141,-76.99603669757582,[ 64.97103  111.25019   90.152275 137.25575 ],5893.671555642737,78.01668548583984,75.54373168945312,108.59769155817511
20200309_152729_13__17_9_0,20200309_152729_13_,2020-03-09 15:27:29,0.515472412109375,-12.334511804115186,-76.99968016290934,[241.54846 268.6091  254.01404 280.45132],1328.5813214331865,37.396728515625,35.52667236328125,51.58158346618773
20200309_152729_13__17_10_0,20200309_152729_13_,2020-03-09 15:27:29,0.8751148581504822,-12.329676514156402,-76.99546928079165,[ 89.747536  86.58284  110.54391  103.54457 ],3174.682118277065,62.38911437988281,50.88519287109375,80.50903332318995
20200309_152729_13__17_10_1,20200309_152729_13_,2020-03-09 15:27:29,0.5479298233985901,-12.327623622580688,-76.9958946312485,[72.61907  14.197699 95.697685 24.735117],2188.701030956581,69.23583984375,31.61225509643555,76.11134075255484
20200309_152729_13__18_7_0,20200309_152729_13_,2020-03-09 15:27:29,0.7663863897323608,-12.336052215948039,-77.0165590446303,[221.95392   17.046288 246.3602    56.807068],8733.714825968491,119.28234100341795,73.21884155273438,139.9616934506728
20200309_152729_13__18_10_0,20200309_152729_13_,2020-03-09 15:27:29,0.5183788537979126,-12.3396053742282,-76.99472468718119,[118.702415 154.57579  141.03854  169.51622 ],3003.402180455625,67.00838470458984,44.8212890625,80.61681942338393
20200309_152729_13__19_2_0,20200309_152729_13_,2020-03-09 15:27:29,0.5405964255332947,-12.34332271475065,-77.05738124225837,[202.86212    7.4087   299.        27.242325],17160.86434606975,288.41363525390625,59.500877380371094,294.487316211424
20200309_152729_13__20_9_0,20200309_152729_13_,2020-03-09 15:27:29,0.5115784406661987,-12.353500323747564,-76.99917828254961,[249.92914   63.843933 292.4829    91.56853 ],10618.074504501186,127.66131591796876,83.17378234863281,152.36564459249064
20200309_152731_17__12_2_0,20200309_152731_17_,2020-03-09 15:27:31,0.9197970628738404,-12.421443983102483,-77.0820546399697,[275.36865 141.81882 296.03217 163.29108],3993.2308593336493,64.41677856445311,61.99053955078125,89.39993486809014
20200309_152731_17__15_6_0,20200309_152731_17_,2020-03-09 15:27:31,0.8668832182884216,-12.445795834629473,-77.05008368588175,[241.34401 137.23427 269.83044 152.18202],3832.273971877992,85.45930480957031,44.84326171875,96.5101595694016
20200309_152731_17__17_2_0,20200309_152731_17_,2020-03-09 15:27:31,0.7398172616958618,-12.462230297248244,-77.0861041908547,[144.38411 156.1949  157.02815 169.84438],1553.2609467208385,40.94842529296875,37.93212890625,55.81773855446143
20200309_152731_17__17_6_0,20200309_152731_17_,2020-03-09 15:27:31,0.6204471588134766,-12.462007960463453,-77.0537017623328,[119.916046 135.46149  138.21854  155.85754 ],3359.6877277940507,61.18817138671875,54.907470703125,82.21205907082609
20200309_152731_17__18_6_0,20200309_152731_17_,2020-03-09 15:27:31,0.6084826588630676,-12.46828157507937,-77.05329539344547,[139.89122  69.491   151.28194  86.36966],1730.3405028954148,50.635986328125,34.172149658203125,61.087960546123114
20200309_152731_17__19_2_0,20200309_152731_17_,2020-03-09 15:27:31,0.787159264087677,-12.474461268357329,-77.08314356705095,[224.11478     5.4338875 299.         25.145763 ],13285.154082096416,224.6556701660156,59.13562774658203,232.3083997765124
20200309_152731_17__19_4_0,20200309_152731_17_,2020-03-09 15:27:31,0.7883040308952332,-12.475802394805081,-77.06865338982811,[172.74338   54.034912 205.48923   67.2493  ],3894.4466656967998,98.237548828125,39.643157958984375,105.9348666526712
20200309_152733_21__1_5_0,20200309_152733_21_,2020-03-09 15:27:33,0.8079269528388977,-12.462982093370456,-77.09023355785563,[ 39.32866 174.46228  77.17979 197.38928],7810.315892776474,113.55338287353516,68.781005859375,132.75992440887816
20200309_152733_21__1_5_1,20200309_152733_21_,2020-03-09 15:27:33,0.7989816069602966,-12.46223422144476,-77.08610754340813,[201.51674 148.6203  213.65477 165.71036],1866.9568165736275,51.27017211914063,36.41409301757813,62.88574337176224
20200309_152733_21__2_9_0,20200309_152733_21_,2020-03-09 15:27:33,0.7232804298400879,-12.468305355783365,-77.0533161076804,[195.85802  64.33954 207.8272   81.28691],1825.6149409348145,50.84211730957031,35.90753173828125,62.243648094048794
20200309_152733_21__3_7_0,20200309_152733_21_,2020-03-09 15:27:33,0.7592806220054626,-12.475826643021257,-77.06871105444002,[225.5216    49.258183 262.54507   61.847317],4194.840672238497,111.07040405273438,37.76740264892578,117.315861499133
20200309_152733_21__3_7_1,20200309_152733_21_,2020-03-09 15:27:33,0.5358738899230957,-12.479760979605118,-77.0709510311752,[137.36588 189.20596 190.60104 213.38446],11584.317398155108,159.70550537109375,72.53549194335938,175.40594641374508
20200309_152733_21__3_16_0,20200309_152733_21_,2020-03-09 15:27:33,0.5010535717010498,-12.475429780415778,-76.99906134731667,[61.898144 12.187163 92.48158  30.913342],5154.398065826899,91.75031661987305,56.17853164672852,107.58321438695458
20200309_152733_21__4_8_0,20200309_152733_21_,2020-03-09 15:27:33,0.6688823699951172,-12.48583470491957,-77.06589453027962,[ 41.063545 116.77756   58.916924 132.98088 ],2603.556555055781,53.56013488769531,48.60997009277344,72.32991940828114
20200309_152733_21__5_8_0,20200309_152733_21_,2020-03-09 15:27:33,0.936012864112854,-12.492007089742687,-77.06384776777615,[109.46239   42.44193  142.42201   63.465923],6236.48680261639,98.87887573242188,63.071983337402344,117.28216892699967
20200309_152733_21__5_17_0,20200309_152733_21_,2020-03-09 15:27:33,0.5301767587661743,-12.49399097271145,-76.98681812948617,[221.0229    93.202965 233.05046  116.33294 ],2503.7738434346397,69.38992309570311,36.08267211914063,78.21074513444428
20200309_152733_21__6_20_0,20200309_152733_21_,2020-03-09 15:27:33,0.7192983031272888,-12.500011460959675,-76.96811761659995,[ 1.9028549  8.846755  16.835062  36.642815 ],3735.5085414602217,83.38817596435547,44.79662132263184,94.65899414522417
20200309_152733_21__7_19_0,20200309_152733_21_,2020-03-09 15:27:33,0.5437290072441101,-12.513897462180068,-76.97175612091591,[164.76437 229.11038 195.90817 244.59122],4339.1880874335775,93.431396484375,46.4425048828125,104.3375872291982
20200309_152733_21__8_4_0,20200309_152733_21_,2020-03-09 15:27:33,0.5490101575851439,-12.517451563145311,-77.09501262039929,[194.2483   91.44543 205.61159 115.15008],2424.263533830643,71.11395263671875,34.08984375,78.86261285626347
20200309_152733_21__8_16_0,20200309_152733_21_,2020-03-09 15:27:33,0.5668885111808777,-12.519961483779259,-76.99848822423883,[104.75115 159.41629 115.97434 178.13184],1890.433175301645,56.14663696289063,33.669570922851555,65.46819722866643
20200309_152733_21__9_17_0,20200309_152733_21_,2020-03-09 15:27:33,0.6911049485206604,-12.527801974099779,-76.9902875145467,[100.99032 145.101   120.40452 168.29167],4052.05538283661,69.572021484375,58.24259948730469,90.73294092258291
20200309_152733_21__11_17_0,20200309_152733_21_,2020-03-09 15:27:33,0.844105064868927,-12.540870065793346,-76.9888590378118,[152.68423   27.322779 179.49454   53.219482],6248.686199022924,80.430908203125,77.6901111602783,111.82524029250249
20200309_152733_21__11_18_0,20200309_152733_21_,2020-03-09 15:27:33,0.8254778981208801,-12.540475952606846,-76.97739713562598,[273.86642    3.509344 290.6743    41.71769 ],5779.804853014649,114.62503051757812,50.423583984375,125.22553830183776
20200310_141602__5_2_0,20200310_141602_,2020-03-10 14:16:02,0.7994188070297241,-12.375198369301168,-76.96201234157049,[ 0.3759899   0.22691917 54.916733   13.697101  ],6612.063102597924,163.62222290039062,40.410544395446784,168.5385532310085
20200310_141602__7_3_0,20200310_141602_,2020-03-10 14:16:02,0.5806384086608887,-12.391854645005616,-76.94935006598381,[188.92337     7.0688667 195.47116    32.699116 ],1510.3935159221292,76.8907470703125,19.64337158203125,79.36024843799649
20200310_141603__7_3_0,20200310_141603_,2020-03-10 14:16:03,0.8409521579742432,-12.330574214102855,-76.96227720955702,[167.4844      2.4336538 174.4772     26.147724 ],1492.4492398579605,71.14220809936523,20.9783935546875,74.17079458512455
20200310_150420__11_13_0,20200310_150420_,2020-03-10 15:04:20,0.5734291672706604,-12.348477160325698,-76.979496270819,[229.94862    4.249056 299.        20.044321],9816.16321443615,207.1541290283203,47.38579559326172,212.50469829509268
20200310_150452__14_28_0,20200310_150452_,2020-03-10 15:04:52,0.8943867683410645,-12.303092138361967,-77.1199149848638,[  0.       195.46846   61.240208 210.86653 ],8486.829751430545,183.72062301635742,46.1942138671875,189.4391002837745
20200310_150453__6_23_0,20200310_150453_,2020-03-10 15:04:53,0.841863214969635,-12.30213719509552,-77.16831363692465,[230.9395    84.44563  241.0334   113.451996],2635.086615240667,87.01908874511719,30.281707763671875,92.13741710681391
20200310_150453__8_25_0,20200310_150453_,2020-03-10 15:04:53,0.8422765731811523,-12.32132690702365,-77.15669168922466,[ 58.74879 190.57118  71.6265  220.13371],3426.2798524199748,88.68759155273438,38.63313674926758,96.73679832676008
20200310_150453__9_22_0,20200310_150453_,2020-03-10 15:04:53,0.8229216933250427,-12.325301897766307,-77.17628860381112,[247.16466   45.340828 258.16443   72.07052 ],2646.184303158196,80.18907165527344,32.999313354492195,86.71356234639737
20200310_150453__14_28_0,20200310_150453_,2020-03-10 15:04:53,0.9428831338882446,-12.370125247011295,-77.13329175080915,[  0.      196.97198  62.293   211.88913],8363.103197109887,186.8789978027344,44.75143432617188,192.1625631958631
20200311_141644__8_18_0,20200311_141644_,2020-03-11 14:16:44,0.9776710271835328,-12.304998458966011,-76.97930889207483,[151.40686 140.88301 163.46875 172.29051],3409.5043247155845,94.22250366210938,36.1856689453125,100.9320703908127
20200311_141644__9_2_0,20200311_141644_,2020-03-11 14:16:44,0.7977396845817566,-12.311588101991957,-77.10889644098292,[237.7627  122.31476 249.63611 150.44626],3006.1523081324995,84.39450073242188,35.6202392578125,91.60367459146256
20200311_141644__9_16_0,20200311_141644_,2020-03-11 14:16:44,0.7701981663703918,-12.310175202942537,-76.9975879078904,[ 87.1857    38.391132 100.75017   68.435745],3667.8528141774586,90.13383865356444,40.69340515136719,98.89419645884233
20200311_141644__11_4_0,20200311_141644_,2020-03-11 14:16:44,0.5851869583129883,-12.331482386467444,-77.09567579679974,[124.93867 255.11949 136.85257 281.64853],2844.579241247499,79.58711242675781,35.74170684814453,87.24435840126334
20200312_145603__14_28_0,20200312_145603_,2020-03-12 14:56:03,0.7145212292671204,-12.307265422527633,-77.10721137511135,[  1.7321262 162.73201    55.388664  174.20296  ],5539.422058593482,160.96961975097656,34.412841796875,164.6069930571321
20200312_145604__6_19_0,20200312_145604_,2020-03-12 14:56:04,0.7423467636108398,-12.309442912422393,-77.19421040957127,[  9.209984 268.32867   28.637718 293.7556  ],4445.89068710804,76.28082275390625,58.283203125,95.99841502088913
20200312_145604__13_19_0,20200312_145604_,2020-03-12 14:56:04,0.7003743052482605,-12.359068949908949,-77.18815060641336,[209.18213    7.658929 298.10867   25.736862],14468.473982544385,266.77963256835943,54.233802795410156,272.2364371625523
20200312_145604__14_28_0,20200312_145604_,2020-03-12 14:56:04,0.9430067539215088,-12.372030225464053,-77.12017513839034,[  0.       168.91898   62.596523 182.89923 ],7876.038290249999,187.78956985473636,41.940765380859375,192.41608650775328
20200312_145605__14_28_0,20200312_145605_,2020-03-12 14:56:05,0.901810109615326,-12.437040197669175,-77.13291299538629,[  0.7254982 176.39462    58.522625  190.39948  ],7284.962011364986,173.3913803100586,42.014556884765625,178.40906298742388
20200312_145606__14_28_0,20200312_145606_,2020-03-12 14:56:06,0.921697437763214,-12.501799755102546,-77.14540029680414,[  0.       183.40204   86.562225 201.88458 ],14399.011204954237,259.68667602539057,55.4476318359375,265.5402221534994
20200313_152736_15__19_2_0,20200313_152736_15_,2020-03-13 15:27:36,0.7078292965888977,-12.314586828277529,-77.16123166030644,[208.07568     6.8217726 299.         27.327385 ],16780.128307437524,272.77294921875,61.5168342590332,279.6236805471742
20200313_152736_15__20_19_0,20200313_152736_15_,2020-03-13 15:27:36,0.9206557273864746,-12.325835437035515,-77.02403344241306,[140.06007  72.67303 158.50175 115.64982],7133.078458100092,128.93037414550778,55.32504272460938,140.2993290425171
20200313_152738_19__13_16_0,20200313_152738_19_,2020-03-13 15:27:38,0.5420717000961304,-12.403406698759824,-77.07692857485473,[ 49.98073 277.91864  78.69667 289.76514],3061.6498195901513,86.1478271484375,35.53948974609375,93.19068329940374
20200313_152738_19__14_18_0,20200313_152738_19_,2020-03-13 15:27:38,0.5714356303215027,-12.40866324302758,-77.06035510468945,[ 62.231995 158.72758   75.12172  189.37904 ],3555.799792009871,91.95437622070312,38.66917419433594,99.7542597537093
20200313_152740_23__7_28_0,20200313_152740_23_,2020-03-13 15:27:40,0.7688749432563782,-12.48459435896893,-76.9977946526316,[262.7314  268.9783  272.55826 281.42947],1101.201429963112,37.353515625,29.48052978515625,47.58557308639462
20200313_152740_23__12_5_0,20200313_152740_23_,2020-03-13 15:27:40,0.5256343483924866,-12.520944969317055,-77.19500063017597,[  1.8389869 167.5204     15.261606  187.61656  ],2427.687974500121,60.28848266601562,40.26785659790039,72.49966494515361
20200315_150651__8_21_0,20200315_150651_,2020-03-15 15:06:51,0.5300970077514648,-12.325642455940251,-76.95604971653795,[137.86511   46.226166 149.07343   73.29071 ],2730.1309887003154,81.19363403320312,33.62493896484375,87.88084391895191
20200315_150654__3_10_0,20200315_150654_,2020-03-15 15:06:54,0.6889858245849609,-12.42408308703266,-77.07569781774818,[ 52.664284 146.24393   61.13436  173.94135 ],2111.393512969371,83.09225463867188,25.41023254394531,86.89075151519444
20200315_150654__6_16_0,20200315_150654_,2020-03-15 15:06:54,0.7168174386024475,-12.447163127955072,-77.02553711522127,[ 82.61449  87.45435  92.78717 113.17216],2354.5717695043427,77.15341186523438,30.518051147460934,82.96987651121056
20200315_150654__8_21_0,20200315_150654_,2020-03-15 15:06:54,0.9023718237876892,-12.46281672691596,-76.98293068703549,[136.62727   53.723083 145.99626   82.23903 ],2404.489964790177,85.54783630371094,28.106964111328125,90.04684185357091
20200316_141420__8_5_0,20200316_141420_,2020-03-16 14:14:20,0.6196098923683167,-12.468520098088286,-76.9566502015547,[214.7222  103.04518 227.96225 131.46107],3386.0509878024463,85.2476806640625,39.72015380859375,94.04710350234248
20200317_141411__8_1_0,20200317_141411_,2020-03-17 14:14:11,0.7467498183250427,-12.444561483839193,-76.95329844128158,[242.83243 142.06918 251.79913 165.45279],1887.0651358980685,70.15081787109375,26.900115966796875,75.13157450107435
20200318_150411__1_1_0,20200318_150411_,2020-03-18 15:04:11,0.6076215505599976,-12.319523745993619,-76.93462714609177,[231.55533 122.69148 277.7523  134.25148],4806.330750066787,138.59088134765622,34.67999267578125,142.86404125850692
20200318_150413__3_1_0,20200318_150413_,2020-03-18 15:04:13,0.7339832186698914,-12.473203283571706,-76.96538493418554,[125.32497 168.21716 136.79323 198.40509],3115.827453643084,90.56378173828124,34.40478515625,96.87872730577524
20200318_150413__6_2_0,20200318_150413_,2020-03-18 15:04:13,0.9744797348976136,-12.497344777450076,-76.95369645017628,[256.81274 157.1489  267.64636 189.8996 ],3193.2773913256824,98.25210571289062,32.5008544921875,103.48807573696294
20200319_151205__6_20_0,20200319_151205_,2020-03-19 15:12:05,0.771239161491394,-12.319108362160033,-76.98328046529045,[242.26273 264.58545 252.24054 291.46942],2414.1893972810362,80.65191650390625,29.93344116210937,86.02756846243261
20200319_151205__7_6_0,20200319_151205_,2020-03-19 15:12:05,0.5028448104858398,-12.32316455376674,-77.1032010226224,[ 74.8559  156.62485  96.33962 166.84375],1975.8602734138253,64.45115661621094,30.656707763671875,71.37075955932184
20200319_151205__8_7_0,20200319_151205_,2020-03-19 15:12:05,0.7298827171325684,-12.334668652014098,-77.08942827651722,[283.4566  270.87857 295.2807  295.38956],2608.382448524237,73.532958984375,35.4722900390625,81.64177495383811
20200319_151205__9_4_0,20200319_151205_,2020-03-19 15:12:05,0.7519105672836304,-12.339807083393275,-77.11904499183122,[ 99.70568 166.91177 128.02534 197.2609 ],7735.292209032924,91.04736328125,84.95899200439453,124.52972610132363
